Section,Type,Key,English,German
Navigation,UI String,nav.imageTools,Image Tools,Bild-Tools
Navigation,UI String,nav.pdfTools,PDF Tools,PDF-Tools
Navigation,UI String,nav.audioTools,Audio Tools,Audio-Tools
Navigation,UI String,nav.textDevTools,Text & Dev Tools,Text- & Entwickler-Tools
Navigation,UI String,nav.getStarted,Get Started,Loslegen
Navigation,UI String,nav.recent,Recent:,Zuletzt:
Tool Page Chrome,UI String,toolPage.home,Home,Startseite
Tool Page Chrome,UI String,toolPage.tools,{category} Tools,{category}-Tools
Tool Page Chrome,UI String,toolPage.howItWorks,How It Works,So funktioniert's
Tool Page Chrome,UI String,toolPage.features,Features,Funktionen
Tool Page Chrome,UI String,toolPage.faq,Frequently Asked Questions,Häufig gestellte Fragen
Tool Page Chrome,UI String,toolPage.moreTools,More Free Tools,Weitere kostenlose Tools
Tool Page Chrome,UI String,toolPage.moreToolsDesc,Explore our other browser-based conversion tools,Entdecken Sie unsere weiteren browserbasierten Konvertierungstools
Tool Page Chrome,UI String,toolPage.relatedConversions,Related Conversions,Verwandte Konvertierungen
Tool Page Chrome,UI String,toolPage.trustBadge,100% Private — Your files never leave your device. All processing runs locally in your browser.,100 % privat — Ihre Dateien verlassen nie Ihr Gerät. Die gesamte Verarbeitung läuft lokal in Ihrem Browser.
Tool Page Chrome,UI String,toolPage.defaultHowItWorks1,This tool runs entirely in your browser using WebAssembly technology. Your files are never uploaded to any server — all processing happens locally on your device for maximum privacy and speed.,Dieses Tool läuft vollständig in Ihrem Browser mit WebAssembly-Technologie. Ihre Dateien werden nie auf einen Server hochgeladen — die gesamte Verarbeitung erfolgt lokal auf Ihrem Gerät für maximale Privatsphäre und Geschwindigkeit.
Tool Page Chrome,UI String,toolPage.defaultHowItWorks2,"Simply drag and drop your file, adjust the settings, and download the result instantly. No account required, no file size limits.","Ziehen Sie einfach Ihre Datei per Drag & Drop, passen Sie die Einstellungen an und laden Sie das Ergebnis sofort herunter. Kein Konto erforderlich, keine Dateigrößenbeschränkungen."
